Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Zipcode
ZCTA5 29520,13892,,,4408,0,11,29520
ZCTA5 29642,32358,,,13306,0,648,29642
ZCTA5 29667,263,,,93,0,0,29667
ZCTA5 29689,3934,,,1356,0,51,29689
ZCTA5 29080,2859,,,829,25,13,29080
ZCTA5 29146,1694,,,456,0,42,29146
ZCTA5 29045,25814,,,10061,40,205,29045
ZCTA5 29118,17232,,,6491,38,139,29118
ZCTA5 29372,4164,,,1595,27,5,29372
ZCTA5 29492,13202,,,5492,0,809,29492
ZCTA5 29020,21408,,,7265,27,378,29020
ZCTA5 29044,5852,,,1673,10,86,29044
ZCTA5 29036,21766,,,8921,12,710,29036
ZCTA5 29037,614,,,193,0,5,29037
ZCTA5 29039,3715,,,1466,0,60,29039
ZCTA5 29040,10616,,,3964,0,116,29040
ZCTA5 29042,5076,,,1396,41,76,29042
ZCTA5 29208,760,,,69,17,40,29208
ZCTA5 29126,2035,,,983,0,11,29126
ZCTA5 29117,1056,,,56,0,20,29117
ZCTA5 29147,0,,,0,0,0,29147
ZCTA5 29225,1308,,,90,12,51,29225
ZCTA5 29324,336,,,140,0,0,29324
ZCTA5 29329,247,,,105,0,0,29329
ZCTA5 29331,194,,,85,0,0,29331
ZCTA5 29333,581,,,206,0,0,29333
ZCTA5 29346,293,,,147,0,0,29346
ZCTA5 29368,96,,,96,0,0,29368
ZCTA5 29378,175,,,26,0,0,29378
ZCTA5 29409,2666,,,76,0,0,29409
ZCTA5 29410,22836,,,9814,53,469,29410
ZCTA5 29424,390,,,20,6,6,29424
ZCTA5 29588,45385,,,16778,7,894,29588
ZCTA5 29613,1917,,,258,0,87,29613
ZCTA5 29614,2128,,,312,0,141,29614
ZCTA5 29634,5129,,,150,22,114,29634
ZCTA5 29707,28866,,,10136,0,1384,29707
ZCTA5 29733,1852,,,305,0,31,29733
ZCTA5 29899,1120,,,0,0,0,29899
ZCTA5 29904,712,,,210,18,91,29904
ZCTA5 29905,3083,,,543,33,837,29905
ZCTA5 29907,14801,,,5328,1,296,29907
ZCTA5 29909,18829,,,3550,0,262,29909
ZCTA5 29912,0,,,0,0,0,29912
ZCTA5 29915,445,,,26,0,24,29915
ZCTA5 29817,4420,,,1163,12,75,29817
ZCTA5 29321,3194,,,1226,0,27,29321
ZCTA5 29014,1763,,,625,0,26,29014
ZCTA5 29038,2169,,,808,0,57,29038
ZCTA5 29053,17852,,,6618,14,158,29053
ZCTA5 29055,4037,,,1051,0,12,29055
ZCTA5 29072,60081,,,23823,10,1705,29072
ZCTA5 29074,112,,,54,0,0,29074
ZCTA5 29114,1763,,,527,0,0,29114
ZCTA5 29123,8525,,,2897,0,78,29123
ZCTA5 29178,3211,,,1128,0,19,29178
ZCTA5 29223,50870,,,21315,155,807,29223
ZCTA5 29306,16085,,,4967,66,180,29306
ZCTA5 29322,8281,,,3220,0,118,29322
ZCTA5 29376,7842,,,3433,0,83,29376
ZCTA5 29403,21888,,,7005,236,527,29403
ZCTA5 29406,33984,,,12054,394,489,29406
ZCTA5 29414,39520,,,19154,48,1548,29414
ZCTA5 29471,1455,,,719,0,10,29471
ZCTA5 29527,25916,,,9120,24,329,29527
ZCTA5 29530,2325,,,797,0,42,29530
ZCTA5 29850,200,,,43,0,0,29850
ZCTA5 29856,2688,,,627,0,90,29856
ZCTA5 29906,25149,,,9549,1,329,29906
ZCTA5 29916,1537,,,669,0,0,29916
ZCTA5 29928,16366,,,4917,0,896,29928
ZCTA5 29929,1002,,,352,0,10,29929
ZCTA5 29160,7833,,,2702,1,111,29160
ZCTA5 29070,15914,,,6289,1,240,29070
ZCTA5 29113,1211,,,281,0,51,29113
ZCTA5 29133,919,,,266,0,3,29133
ZCTA5 29335,5939,,,1492,0,56,29335
ZCTA5 29164,5190,,,1661,0,58,29164
ZCTA5 29205,24756,,,10468,149,692,29205
ZCTA5 29301,35704,,,13754,41,352,29301
ZCTA5 29360,20651,,,6729,14,105,29360
ZCTA5 29431,6947,,,2567,0,19,29431
ZCTA5 29451,4430,,,1424,0,192,29451
ZCTA5 29493,164,,,38,0,4,29493
ZCTA5 29505,24850,,,9576,0,474,29505
ZCTA5 29543,582,,,136,0,7,29543
ZCTA5 29563,2192,,,647,0,7,29563
