Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 70427,19565.0,,,5157.0,0.0,50.0,18033.0,70427
ZCTA5 70443,10602.0,,,2702.0,13.0,43.0,18990.0,70443
ZCTA5 70446,7453.0,,,2276.0,0.0,150.0,33616.0,70446
ZCTA5 70454,29440.0,,,11089.0,0.0,305.0,29799.0,70454
ZCTA5 70456,2589.0,,,629.0,0.0,10.0,21563.0,70456
ZCTA5 70463,172.0,,,34.0,0.0,0.0,-666666666.0,70463
ZCTA5 70464,695.0,,,172.0,0.0,0.0,21940.0,70464
ZCTA5 70466,9339.0,,,3360.0,0.0,99.0,24174.0,70466
ZCTA5 70508,40495.0,,,17871.0,20.0,1013.0,38827.0,70508
ZCTA5 70524,144.0,,,36.0,0.0,2.0,18092.0,70524
ZCTA5 70525,13900.0,,,4425.0,0.0,161.0,24549.0,70525
ZCTA5 70544,10942.0,,,3074.0,0.0,39.0,22469.0,70544
ZCTA5 70554,5638.0,,,1506.0,0.0,33.0,20333.0,70554
ZCTA5 70555,7974.0,,,3417.0,0.0,148.0,32802.0,70555
ZCTA5 70559,2981.0,,,943.0,2.0,13.0,22500.0,70559
ZCTA5 70580,208.0,,,101.0,0.0,0.0,24189.0,70580
ZCTA5 70634,26058.0,,,8499.0,9.0,180.0,25412.0,70634
ZCTA5 70639,327.0,,,80.0,0.0,13.0,21827.0,70639
ZCTA5 70646,793.0,,,321.0,0.0,0.0,38750.0,70646
ZCTA5 70743,163.0,,,80.0,0.0,0.0,36563.0,70743
ZCTA5 70653,3430.0,,,1000.0,22.0,18.0,28060.0,70653
ZCTA5 70661,1978.0,,,604.0,0.0,0.0,20139.0,70661
ZCTA5 70662,276.0,,,11.0,0.0,0.0,14451.0,70662
ZCTA5 70752,776.0,,,175.0,0.0,0.0,29844.0,70752
ZCTA5 70761,549.0,,,174.0,0.0,5.0,22276.0,70761
ZCTA5 70763,4279.0,,,1705.0,8.0,88.0,40000.0,70763
ZCTA5 70782,203.0,,,91.0,0.0,0.0,13682.0,70782
ZCTA5 70785,21416.0,,,8587.0,31.0,376.0,32431.0,70785
ZCTA5 70003,41084.0,,,16989.0,38.0,843.0,31463.0,70003
ZCTA5 70006,16344.0,,,6266.0,9.0,341.0,30645.0,70006
ZCTA5 70031,1366.0,,,585.0,0.0,0.0,30585.0,70031
ZCTA5 70043,23602.0,,,7872.0,108.0,109.0,25570.0,70043
ZCTA5 70062,16888.0,,,5661.0,223.0,122.0,21444.0,70062
ZCTA5 70068,34262.0,,,13931.0,0.0,250.0,30997.0,70068
ZCTA5 70070,13875.0,,,5596.0,0.0,227.0,42317.0,70070
ZCTA5 70114,24115.0,,,6812.0,870.0,451.0,19142.0,70114
ZCTA5 70129,10360.0,,,2727.0,149.0,23.0,23253.0,70129
ZCTA5 70130,14279.0,,,4839.0,582.0,624.0,34787.0,70130
ZCTA5 70131,33672.0,,,11815.0,610.0,388.0,29408.0,70131
ZCTA5 70345,9677.0,,,3059.0,0.0,61.0,26060.0,70345
ZCTA5 70354,4464.0,,,1186.0,0.0,11.0,21820.0,70354
